total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6629361664,14474506240,21103867904,4195100,109,2022-05-05T06:03:50.631492+00:00,VM1
6628919296,14474948608,21103867904,4195100,109,2022-05-05T06:23:35.598978+00:00,VM1
6628911104,14474956800,21103867904,4195100,109,2022-05-05T06:23:50.596670+00:00,VM1
6628853760,14475014144,21103867904,4195100,109,2022-05-05T06:26:05.595125+00:00,VM1
6628853760,14475014144,21103867904,4195100,109,2022-05-05T06:26:20.595637+00:00,VM1
6628935680,14474932224,21103867904,4195100,109,2022-05-05T06:23:05.607469+00:00,VM1
6628935680,14474932224,21103867904,4195100,109,2022-05-05T06:23:20.602050+00:00,VM1
6628911104,14474956800,21103867904,4195100,109,2022-05-05T06:24:05.603076+00:00,VM1
6628911104,14474956800,21103867904,4195100,109,2022-05-05T06:24:20.596212+00:00,VM1
6628870144,14474997760,21103867904,4195100,109,2022-05-05T06:25:05.594925+00:00,VM1
6628870144,14474997760,21103867904,4195100,109,2022-05-05T06:25:20.596340+00:00,VM1
6628837376,14475030528,21103867904,4195100,109,2022-05-05T06:27:05.593667+00:00,VM1
6628837376,14475030528,21103867904,4195100,109,2022-05-05T06:27:20.601043+00:00,VM1
6628845568,14475022336,21103867904,4195100,109,2022-05-05T06:26:35.593638+00:00,VM1
6628845568,14475022336,21103867904,4195100,109,2022-05-05T06:26:50.604367+00:00,VM1
6628911104,14474956800,21103867904,4195100,109,2022-05-05T06:24:35.598913+00:00,VM1
6628878336,14474989568,21103867904,4195100,109,2022-05-05T06:24:50.597934+00:00,VM1
6628861952,14475005952,21103867904,4195100,109,2022-05-05T06:25:35.595610+00:00,VM1
6628861952,14475005952,21103867904,4195100,109,2022-05-05T06:25:50.604497+00:00,VM1
6628485120,14475382784,21103867904,4195100,109,2022-05-05T06:44:35.564777+00:00,VM1
6628452352,14475415552,21103867904,4195100,109,2022-05-05T06:44:50.565785+00:00,VM1
6628493312,14475374592,21103867904,4195100,109,2022-05-05T06:43:35.566973+00:00,VM1
6628493312,14475374592,21103867904,4195100,109,2022-05-05T06:43:50.589341+00:00,VM1
6628485120,14475382784,21103867904,4195100,109,2022-05-05T06:44:05.565903+00:00,VM1
6628485120,14475382784,21103867904,4195100,109,2022-05-05T06:44:20.565188+00:00,VM1
6628411392,14475456512,21103867904,4195100,109,2022-05-05T06:47:35.566088+00:00,VM1
6628403200,14475464704,21103867904,4195100,109,2022-05-05T06:47:50.580127+00:00,VM1
6628444160,14475423744,21103867904,4195100,109,2022-05-05T06:45:05.581289+00:00,VM1
6628444160,14475423744,21103867904,4195100,109,2022-05-05T06:45:20.582116+00:00,VM1
6628435968,14475431936,21103867904,4195100,109,2022-05-05T06:45:35.563917+00:00,VM1
6628435968,14475431936,21103867904,4195100,109,2022-05-05T06:45:50.563817+00:00,VM1
6628419584,14475448320,21103867904,4195100,109,2022-05-05T06:46:35.568283+00:00,VM1
6628419584,14475448320,21103867904,4195100,109,2022-05-05T06:46:50.571458+00:00,VM1
6628411392,14475456512,21103867904,4195100,109,2022-05-05T06:47:05.567797+00:00,VM1
6628411392,14475456512,21103867904,4195100,109,2022-05-05T06:47:20.560205+00:00,VM1
6628435968,14475431936,21103867904,4195100,109,2022-05-05T06:46:05.564547+00:00,VM1
6628435968,14475431936,21103867904,4195100,109,2022-05-05T06:46:20.564158+00:00,VM1
6627690496,14476177408,21103867904,4195100,109,2022-05-05T07:20:05.508676+00:00,VM1
6627690496,14476177408,21103867904,4195100,109,2022-05-05T07:20:20.513597+00:00,VM1
6627739648,14476128256,21103867904,4195100,109,2022-05-05T07:19:05.511887+00:00,VM1
6627731456,14476136448,21103867904,4195100,109,2022-05-05T07:19:20.523684+00:00,VM1
6627665920,14476201984,21103867904,4195100,109,2022-05-05T07:21:35.508533+00:00,VM1
6627665920,14476201984,21103867904,4195100,109,2022-05-05T07:21:50.517790+00:00,VM1
6627731456,14476136448,21103867904,4195100,109,2022-05-05T07:19:35.521075+00:00,VM1
6627698688,14476169216,21103867904,4195100,109,2022-05-05T07:19:50.515086+00:00,VM1
6627665920,14476201984,21103867904,4195100,109,2022-05-05T07:22:05.511068+00:00,VM1
6627665920,14476201984,21103867904,4195100,109,2022-05-05T07:22:20.534695+00:00,VM1
6627682304,14476185600,21103867904,4195100,109,2022-05-05T07:20:35.510662+00:00,VM1
6627682304,14476185600,21103867904,4195100,109,2022-05-05T07:20:50.528322+00:00,VM1
6627633152,14476234752,21103867904,4195100,109,2022-05-05T07:23:05.507109+00:00,VM1
