utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 05:42:20.663485+00:00,6629804032,14474063872,21103867904,4195100,109
2022-05-05 05:42:35.660278+00:00,6629804032,14474063872,21103867904,4195100,109
2022-05-05 05:47:20.654412+00:00,6629689344,14474178560,21103867904,4195100,109
2022-05-05 05:47:35.673913+00:00,6629681152,14474186752,21103867904,4195100,109
2022-05-05 05:47:50.655200+00:00,6629664768,14474203136,21103867904,4195100,109
2022-05-05 05:48:05.652914+00:00,6629664768,14474203136,21103867904,4195100,109
2022-05-05 05:48:20.653233+00:00,6629681152,14474186752,21103867904,4195100,109
2022-05-05 05:48:35.651813+00:00,6629681152,14474186752,21103867904,4195100,109
2022-05-05 05:48:50.668270+00:00,6629681152,14474186752,21103867904,4195100,109
2022-05-05 05:49:05.660136+00:00,6629664768,14474203136,21103867904,4195100,109
2022-05-05 05:49:20.650184+00:00,6629664768,14474203136,21103867904,4195100,109
2022-05-05 05:49:35.648992+00:00,6629656576,14474211328,21103867904,4195100,109
2022-05-05 05:49:50.647646+00:00,6629623808,14474244096,21103867904,4195100,109
2022-05-05 05:50:05.648948+00:00,6629623808,14474244096,21103867904,4195100,109
2022-05-05 05:50:20.657861+00:00,6629623808,14474244096,21103867904,4195100,109
2022-05-05 05:50:35.647654+00:00,6629615616,14474252288,21103867904,4195100,109
2022-05-05 05:50:50.656113+00:00,6629615616,14474252288,21103867904,4195100,109
2022-05-05 05:51:05.647307+00:00,6629607424,14474260480,21103867904,4195100,109
2022-05-05 05:51:20.658259+00:00,6629607424,14474260480,21103867904,4195100,109
2022-05-05 05:51:35.682106+00:00,6629599232,14474268672,21103867904,4195100,109
2022-05-05 05:51:50.656624+00:00,6629599232,14474268672,21103867904,4195100,109
2022-05-05 05:52:05.645334+00:00,6629591040,14474276864,21103867904,4195100,109
2022-05-05 05:52:20.644930+00:00,6629591040,14474276864,21103867904,4195100,109
2022-05-05 05:52:35.645275+00:00,6629591040,14474276864,21103867904,4195100,109
2022-05-05 05:52:50.656774+00:00,6629582848,14474285056,21103867904,4195100,109
2022-05-05 05:53:05.664331+00:00,6629574656,14474293248,21103867904,4195100,109
2022-05-05 05:53:20.648666+00:00,6629574656,14474293248,21103867904,4195100,109
2022-05-05 05:53:35.643237+00:00,6629558272,14474309632,21103867904,4195100,109
2022-05-05 05:53:50.643442+00:00,6629558272,14474309632,21103867904,4195100,109
2022-05-05 05:54:05.645921+00:00,6629558272,14474309632,21103867904,4195100,109
2022-05-05 05:54:20.666537+00:00,6629558272,14474309632,21103867904,4195100,109
2022-05-05 05:54:35.665028+00:00,6629558272,14474309632,21103867904,4195100,109
2022-05-05 05:54:50.645479+00:00,6629525504,14474342400,21103867904,4195100,109
2022-05-05 05:55:05.641083+00:00,6629517312,14474350592,21103867904,4195100,109
2022-05-05 05:55:20.639332+00:00,6629517312,14474350592,21103867904,4195100,109
2022-05-05 05:55:35.640096+00:00,6629517312,14474350592,21103867904,4195100,109
2022-05-05 05:55:50.651436+00:00,6629517312,14474350592,21103867904,4195100,109
2022-05-05 05:56:05.640346+00:00,6629500928,14474366976,21103867904,4195100,109
2022-05-05 05:56:20.640756+00:00,6629500928,14474366976,21103867904,4195100,109
2022-05-05 05:56:35.654032+00:00,6629492736,14474375168,21103867904,4195100,109
2022-05-05 05:56:50.639596+00:00,6629492736,14474375168,21103867904,4195100,109
2022-05-05 05:57:05.650585+00:00,6629492736,14474375168,21103867904,4195100,109
2022-05-05 05:57:20.653130+00:00,6629492736,14474375168,21103867904,4195100,109
2022-05-05 05:57:35.637277+00:00,6629484544,14474383360,21103867904,4195100,109
2022-05-05 05:57:50.640367+00:00,6629484544,14474383360,21103867904,4195100,109
2022-05-05 05:58:05.637241+00:00,6629459968,14474407936,21103867904,4195100,109
2022-05-05 05:58:20.638838+00:00,6629459968,14474407936,21103867904,4195100,109
2022-05-05 05:58:35.637224+00:00,6629459968,14474407936,21103867904,4195100,109
2022-05-05 05:58:50.643550+00:00,6629459968,14474407936,21103867904,4195100,109
2022-05-05 05:59:05.638353+00:00,6629459968,14474407936,21103867904,4195100,109
2022-05-05 05:59:20.635631+00:00,6629451776,14474416128,21103867904,4195100,109
2022-05-05 05:59:35.635223+00:00,6629451776,14474416128,21103867904,4195100,109
2022-05-05 05:59:50.645968+00:00,6629419008,14474448896,21103867904,4195100,109
2022-05-05 06:00:05.640932+00:00,6629419008,14474448896,21103867904,4195100,109
2022-05-05 06:00:20.633795+00:00,6629419008,14474448896,21103867904,4195100,109
2022-05-05 06:00:35.633935+00:00,6629410816,14474457088,21103867904,4195100,109
2022-05-05 06:00:50.636222+00:00,6629410816,14474457088,21103867904,4195100,109
2022-05-05 06:01:05.634768+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:01:20.648247+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:01:35.631799+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:01:50.631691+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:02:05.630228+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:02:20.631208+00:00,6629394432,14474473472,21103867904,4195100,109
2022-05-05 06:02:35.629972+00:00,6629378048,14474489856,21103867904,4195100,109
2022-05-05 06:02:50.636298+00:00,6629378048,14474489856,21103867904,4195100,109
2022-05-05 06:03:05.630222+00:00,6629369856,14474498048,21103867904,4195100,109
2022-05-05 06:03:20.637443+00:00,6629361664,14474506240,21103867904,4195100,109
2022-05-05 06:03:35.629115+00:00,6629361664,14474506240,21103867904,4195100,109
2022-05-05 06:03:50.631492+00:00,6629361664,14474506240,21103867904,4195100,109
2022-05-05 06:04:05.645678+00:00,6629345280,14474522624,21103867904,4195100,109
2022-05-05 06:04:20.630650+00:00,6629345280,14474522624,21103867904,4195100,109
2022-05-05 06:04:35.627422+00:00,6629345280,14474522624,21103867904,4195100,109
2022-05-05 06:04:50.634714+00:00,6629312512,14474555392,21103867904,4195100,109
2022-05-05 06:05:05.626356+00:00,6629304320,14474563584,21103867904,4195100,109
2022-05-05 06:05:20.642694+00:00,6629304320,14474563584,21103867904,4195100,109
2022-05-05 06:05:35.633608+00:00,6629296128,14474571776,21103867904,4195100,109
2022-05-05 06:05:50.626769+00:00,6629287936,14474579968,21103867904,4195100,109
2022-05-05 06:06:05.624787+00:00,6629287936,14474579968,21103867904,4195100,109
2022-05-05 06:06:20.627681+00:00,6629287936,14474579968,21103867904,4195100,109
2022-05-05 06:06:35.624002+00:00,6629287936,14474579968,21103867904,4195100,109
2022-05-05 06:06:50.639768+00:00,6629287936,14474579968,21103867904,4195100,109
2022-05-05 06:07:05.620404+00:00,6629279744,14474588160,21103867904,4195100,109
2022-05-05 06:07:20.622694+00:00,6629279744,14474588160,21103867904,4195100,109
2022-05-05 06:07:35.619888+00:00,6629263360,14474604544,21103867904,4195100,109
2022-05-05 06:07:50.629412+00:00,6629263360,14474604544,21103867904,4195100,109
2022-05-05 06:08:05.657089+00:00,6629255168,14474612736,21103867904,4195100,109
2022-05-05 06:08:20.637245+00:00,6629255168,14474612736,21103867904,4195100,109
2022-05-05 06:08:35.621408+00:00,6629246976,14474620928,21103867904,4195100,109
