,0
629,-0.0114131
630,-0.08542224
631,-0.11997896
632,-0.10888919
633,-0.100122325
634,-0.12884186
635,-0.12641858
636,-0.13291211
637,-7.521762
638,-7.53794
639,-7.5385785
640,-7.5841484
641,-7.497098
642,-7.5016236
643,-7.4838095
644,-7.410058
645,-7.3980274
646,-7.3825235
647,-7.3730545
648,-7.263603
649,-7.193905
650,-7.1399817
651,-7.1188006
652,-7.0334463
653,-6.992102
654,-6.919826
655,-6.8364043
656,-6.8389225
657,-6.8014812
658,-6.733517
659,-6.647784
660,-6.5508323
661,-6.4994054
662,-6.4357142
663,-6.3831563
664,-6.292828
665,-6.2590528
666,-6.218495
667,-6.205646
668,-6.08329
669,-6.0171475
670,-5.9794574
671,-5.980318
672,-5.8791184
673,-5.835139
674,-5.782023
675,-5.727199
676,-5.69058
677,-5.6548033
678,-5.643997
679,-5.5590487
680,-5.500955
681,-5.3988404
682,-5.3436146
683,-5.330598
684,-5.255508
685,-5.2043757
686,-5.121271
687,-5.0699663
688,-4.9814835
689,-4.9383116
690,-4.913913
691,-4.811622
692,-4.762031
693,-4.6962543
694,-4.601065
695,-4.59406
696,-4.5211496
697,-4.4682126
698,-4.4014473
699,-4.3866577
700,-4.298763
701,-4.280566
702,-4.1711845
703,-4.096925
704,-4.0149565
705,-3.9538662
706,-3.9163766
707,-3.8472888
708,-3.6200426
709,-3.4382455
710,-3.1024122
711,-3.021159
712,-2.8383403
713,-2.764855
714,-2.6589189
715,-2.5601442
716,-2.494167
717,-2.4559343
718,-2.2849464
719,-2.17863
720,-2.0357618
721,-1.9394709
722,-1.8936841
723,-1.7999725
724,-1.7229925
725,-1.6512532
726,-1.5322484
727,-1.5436965
728,-1.4399976
729,-1.3580003
730,-1.3357997
731,-1.2735218
732,-1.1851642
733,-1.1615262
734,-1.1412134
735,-1.1562864
736,-1.0919368
737,-1.130404
738,-1.1369673
739,-1.1320231
740,-1.1999094
741,-1.1979178
742,-1.2848043
