in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1471762,71035897,15,0,207371,251302681,0,eth0,2022-05-05T04:51:24.695506+00:00,VM1
0,1471776,71036711,15,0,207381,251306867,0,eth0,2022-05-05T04:51:39.707122+00:00,VM1
0,1471376,71012858,15,0,207078,251176185,0,eth0,2022-05-05T04:44:54.718073+00:00,VM1
0,1471390,71013672,15,0,207088,251180338,0,eth0,2022-05-05T04:45:09.719703+00:00,VM1
0,1471703,71032427,15,0,207327,251283327,0,eth0,2022-05-05T04:50:24.713058+00:00,VM1
0,1471717,71033241,15,0,207337,251287494,0,eth0,2022-05-05T04:50:39.706112+00:00,VM1
0,1474603,71203492,15,0,209511,252242752,0,eth0,2022-05-05T05:39:54.634591+00:00,VM1
0,1474617,71204306,15,0,209521,252246912,0,eth0,2022-05-05T05:40:09.634456+00:00,VM1
0,1474719,71210334,15,0,209598,252281396,0,eth0,2022-05-05T05:41:54.626461+00:00,VM1
0,1474732,71211102,15,0,209607,252285545,0,eth0,2022-05-05T05:42:09.636813+00:00,VM1
0,1474545,71200068,15,0,209468,252223458,0,eth0,2022-05-05T05:38:54.630112+00:00,VM1
0,1474559,71200882,15,0,209478,252227635,0,eth0,2022-05-05T05:39:09.641127+00:00,VM1
0,1474575,71201829,15,0,209490,252233118,0,eth0,2022-05-05T05:39:24.646315+00:00,VM1
0,1474588,71202597,15,0,209499,252237251,0,eth0,2022-05-05T05:39:39.627644+00:00,VM1
0,1474690,71208625,15,0,209576,252271706,0,eth0,2022-05-05T05:41:24.630777+00:00,VM1
0,1474704,71209439,15,0,209586,252275911,0,eth0,2022-05-05T05:41:39.624022+00:00,VM1
0,1474516,71198353,15,0,209447,252213797,0,eth0,2022-05-05T05:38:24.622435+00:00,VM1
0,1474529,71199121,15,0,209456,252217961,0,eth0,2022-05-05T05:38:39.620785+00:00,VM1
0,1474748,71212043,15,0,209620,252291072,0,eth0,2022-05-05T05:42:24.628875+00:00,VM1
0,1474761,71212811,15,0,209629,252295253,0,eth0,2022-05-05T05:42:39.622793+00:00,VM1
0,1474661,71206910,15,0,209555,252262021,0,eth0,2022-05-05T05:40:54.619658+00:00,VM1
0,1474674,71207678,15,0,209564,252266167,0,eth0,2022-05-05T05:41:09.643751+00:00,VM1
0,1474632,71205201,15,0,209533,252252406,0,eth0,2022-05-05T05:40:24.625707+00:00,VM1
0,1474645,71205969,15,0,209542,252256527,0,eth0,2022-05-05T05:40:39.651936+00:00,VM1
0,1475887,71279974,15,0,210509,252671320,0,eth0,2022-05-05T06:01:54.593854+00:00,VM1
0,1475900,71280742,15,0,210518,252675454,0,eth0,2022-05-05T06:02:09.629875+00:00,VM1
0,1475858,71278265,15,0,210487,252661627,0,eth0,2022-05-05T06:01:24.609746+00:00,VM1
0,1475871,71279033,15,0,210496,252665756,0,eth0,2022-05-05T06:01:39.593862+00:00,VM1
0,1475946,71283450,15,0,210552,252690610,0,eth0,2022-05-05T06:02:54.592143+00:00,VM1
0,1475959,71284218,15,0,210561,252694749,0,eth0,2022-05-05T06:03:09.592108+00:00,VM1
0,1476061,71290246,15,0,210638,252729207,0,eth0,2022-05-05T06:04:54.605153+00:00,VM1
0,1476075,71291060,15,0,210648,252733371,0,eth0,2022-05-05T06:05:09.589449+00:00,VM1
0,1476003,71286822,15,0,210595,252709949,0,eth0,2022-05-05T06:03:54.610157+00:00,VM1
0,1476016,71287590,15,0,210604,252714075,0,eth0,2022-05-05T06:04:09.608181+00:00,VM1
0,1475916,71281689,15,0,210530,252680941,0,eth0,2022-05-05T06:02:24.592717+00:00,VM1
0,1475930,71282503,15,0,210540,252685116,0,eth0,2022-05-05T06:02:39.607485+00:00,VM1
0,1476033,71288583,15,0,210617,252719624,0,eth0,2022-05-05T06:04:24.604779+00:00,VM1
